Cell,Description,OPtion1Text,Option1,Option2Text,Option2,Option3Text,Option3,Option4Text,Option4
10,Room 10,,,,,,,,
11,Room 11,,,,,,,,
12,Room 12,,,,,,,,
13,Room 13,,,,,,,,
14,"The shadow of the wall makes it very difficult to see. A loose stone slips and you lose your balance, teetering on the edge of what you realise must be a deep pit.",">Your lucky, you regain your footing and step round the pit and continue.",79,">You are not unlucky, you fall in.",100,,,,
15,"The dagger is indeed a work of art and was undoubtdely worth a fir price. The blade is made of shiny metal and the hilt is a peculiar green leather, with inlad stones. You read an inscription which tells you that it is enchanted throwing the dagger which never misses. In a future combat, you may use this dagger to throw at an opponent. It will automatically inflict 2 STAMINA points of damage, but you can use it only once. You put the dagger into your bag and set off towards the Citadel.",>Continue,245,,,,,,
16,Room 16,,,,,,,,
17,Room 17,,,,,,,,
18,Room 18,,,,,,,,
19,Room 19,,,,,,,,
20,The Ape-Dog tells you tht no one is allowedinto the Black Tower after dark - you will have to look elsewhere for shelter. ,>You may either resign your-self to a fight.,288," >or you may pick up a stone and cast a Fool's Gold spell on it, offering them a nugget of Gold as a bribe to let you in.",96,,,,
21,Room 21,,,,,,,,
22,Room 22,,,,,,,,
23,Room 23,,,,,,,,
24,Room 24,,,,,,,,
25,Room 25,,,,,,,,
26,Room 26,,,,,,,,
27,Room 27,,,,,,,,
28,Room 28,,,,,,,,
29,Room 29,,,,,,,,
30,Room 30,,,,,,,,
31,Room 31,,,,,,,,
32,"Steping over the bodies, you approach the gate and call the gatekeeper, hiding in the shadows as he approaches. He sees the bodies and comes out to investigate, whereupon you nip inside the gate and lock him out.",>Continue,251,,,,,,
33,"As you try to rise, the Orc and the Goblin grab you and hold you down, while the Dwarf advances with his club.",>Continue,213,,,,,,
34,Room 34,,,,,,,,
35,Room 35,,,,,,,,
36,Room 36,,,,,,,,
37,Room 37,,,,,,,,
38,Room 38,,,,,,,,
39,Room 39,,,,,,,,
40,Room 40,,,,,,,,
41,Room 41,,,,,,,,
42,Room 42,,,,,,,,
43,"As you cast the spell, his grip loosens. Gradually his strength ebbs until eventually he releases his grip and slumps back, panting, on the ground.",>You continue on your way.,14,,,,,,
44,Room 44,,,,,,,,
45,Room 45,,,,,,,,
46,Room 46,,,,,,,,
47,What Spell will you use:,>Creature Copy Spell?,8,>Illusion Spell?,173,>Levitation Spell?,259,,
48,Room 48,,,,,,,,
49,Room 49,,,,,,,,
50,Room 50,,,,,,,,
51,Room 51,,,,,,,,
52,Room 52,,,,,,,,
53,Room 53,,,,,,,,
54,Room 54,,,,,,,,
55,Room 55,,,,,,,,
56,Room 56,,,,,,,,
57,Room 57,,,,,,,,
58,"As you enter, the Gremlins flutter and squeak excitedly, then fly past you, through the door and out into the night. You are now alone with the chalices. Will you risk taking a drink? If so, will you choose:",>The clear liquid?,298,>The red liquid?,267,>The milky liquid?,92,,
59,Room 59,,,,,,,,
60,"The creatures become supicious as you press them for information. The Dwarf springs to his feet brandishing a wooden club, while the Goblin and the Orc grab swords and glare at you. The Goblin's mistress shrieks and steps back serveral paces as the other advance towards you.You have to fight them. You may use a Magic Spell:",>Levitation Spell?,33,>Illusion Spell?,295,,,,
61,Room 61,,,,,,,,
62,Room 62,,,,,,,,
63,Room 63,,,,,,,,
64,Room 64,,,,,,,,
65,Room 65,,,,,,,,
66,Room 66,,,,,,,,
67,Room 67,,,,,,,,
68,Room 68,,,,,,,,
69,Room 69,,,,,,,,
70,Room 70,,,,,,,,
71,"You draw your sword and hack at the tentacle. The tenacle will not fight back as will a normal creature, but instead is trying to drag you into a large hole in the ground which is opening around the base.",>Continue,218,,,,,,
72,Room 72,,,,,,,,
73,Room 73,,,,,,,,
74,Room 74,,,,,,,,
75,Room 75,,,,,,,,
76,Room 76,,,,,,,,
77,Room 77,,,,,,,,
78,Room 78,,,,,,,,
79,"In the far corner of the courtyard, you come across a peculiar brush with brances twisting out from the central stalk, as if in agony. The leaves are diamond-shaped, with small berries underneath, flat and tablet-like. You may take some berries with you on your adventure and creep further along the wall to the main entrance to the Citadel.",>Continue.,218,,,,,,
80,Room 80,,,,,,,,
81,"The Ape-Dog laughs and tells you that Kylltrog is a lazy good-for-nothing and is not worth saving. You breath a sigh of relief as he walks back and shouts for the gatekeeper. Moments later, the gatekeeper appears and opensa small doorway to let you in.",>You go in.,251,,,,,,
82,Room 82,,,,,,,,
83,"The man is a merchant. You tell him you are of the sameprofession and you chat for some time about prices and profits within the Black Tower. He says he has never been allowd above the ground floor of the Citadl, as merchants are rather despised inside. You bid him farewell and press onwards.",>Continue,245,,,,,,
84,Room 84,,,,,,,,
85,Room 85,,,,,,,,
86,"As you cast the spell, the two creatureswatch in amazement as you rise in the air, float over their heads towards the gate, over the wall and into the Citadel. You land on your feet inside the gate and look araound. But beware! They will be sure to alert the Citadel guards.",>Continue,251,,,,,,
87,Room 87,,,,,,,,
88,Room 88,,,,,,,,
89,Room 89,,,,,,,,
90,Room 90,,,,,,,,
91,Room 91,,,,,,,,
92,"The milky liquid smells sweet. You take a sip and start to giggle! You take a gulp and burst out laughing - for no reason at all! No wounder the little Gremlins were enjoying it so much. Light-headed, and in fine sprits, you leave the chamber to make your way onward towards the Citadel.",>Continue,156,,,,,,
93,Room 93,,,,,,,,
94,You feel your own growing power. Running at the door you hit it hard with you shoulder . . . But it does not budge! You are now bruise and knock loudly to summon the guard.,>Continue,118,,,,,,
95,Room 95,,,,,,,,
96,"They accept your offering and summon the gatekeeper, who opens a small doorway in the portcullis to let you in. You leave them squabbling over the gold nugget.",>Continue,251,,,,,,
97,Room 97,,,,,,,,
98,Room 98,,,,,,,,
99,Room 99,,,,,,,,
100,"Do you have a Lavitation Spell? If so, you had better use it now to float out of the pit.",">If you Levitate yourself, you can continue down the wal towards the corner of the courtyard",79,>You don't have that Spell.,276,,,,
101,Room 101,,,,,,,,
102,Room 102,,,,,,,,
103,Room 103,,,,,,,,
104,Room 104,,,,,,,,
105,Room 105,,,,,,,,
106,"She laughs again and tells you she likes to see people getting angry. In good humor, she accompanies you for several metres. Conversation is difficult. She sees something in the distant shadows and nips off to investigate, allowing you to advance to the Black Tower's Main entrance.",>Continue,218,,,,,,
107,Room 107,,,,,,,,
108,Room 108,,,,,,,,
109,Room 109,,,,,,,,
110,BLANK,">You are lucky, choose another name which is familiar to them and they summon the gatekeeper, who eventually appears to let you in.",251,">You were unlucky, This was another poor guess and they advance towards you with there weapons at the ready. You will have to fight them.",288,,,,
111,Room 111,,,,,,,,
112,Room 112,,,,,,,,
113,Room 113,,,,,,,,
114,"you point to the base of the tentacle and cast your spell. A puff of smoke and flash of light burst from the hole in the ground. A shudder runs through the tentacle and, thankfully, it releases its grip. As it retreats back into the ground, you rub your leg to get the circulation back and then set offtowards the Citadel again.",>Continue,218,,,,,,
115,Room 115,,,,,,,,
116,Room 116,,,,,,,,
117,Room 117,,,,,,,,
118,"The door opens and a large, brutish creature steps out. It has a sharp horn in the middle of its forehead and skin appears to be armour-plated. It grunts to ask you what you want and demands the password before letting you in. Do you know the password?",">If so, ",273,">If not, you will have to bluff your way in.",198,,,,
119,Room 119,,,,,,,,
120,Room 120,,,,,,,,
121,Room 121,,,,,,,,
122,"You try a simple ruse to fool her, but she does not fall for it. She will stop you getting any further unless you use magic.",>Continue,47,,,,,,
123,Room 123,,,,,,,,
124,Room 124,,,,,,,,
125,"As you break into a run, three arrows fly out towards you from nowhere. ",,,,,,,,
126,Room 126,,,,,,,,
127,Room 127,,,,,,,,
128,Room 128,,,,,,,,
129,Room 129,,,,,,,,
130,The spell has no effect.,>Draw your sword.,333,,,,,,
131,Room 131,,,,,,,,
132,Room 132,,,,,,,,
133,Room 133,,,,,,,,
134,"They are taken aback by your audacity. Rather than waiting for them to talk, you act aggressively and demand to known how to get into the Citadel. They point to the main entrance, obviously a little bewildered by your confident manner, and whisper amongst themselves. The Orc tells you that you will need the password, 'Scimitar', to get in. You ask about the vial of liquid within the box, whereupon they get agitated.",>Will you press them for more information about the vial.,60,>Leave them and head for the two men you saw earlier,269,>or press on towards the Black Tower.,245,,
135,Room 135,,,,,,,,
136,Room 136,,,,,,,,
137,The man is old and has been hit about the head with a club of some sort. He asks for medicine but you have none.,>You could use a Stamina Spell to fix him up and he offers to help you if you will use your magic,383,">If not, you will have to leave him and continue along the wall",14,,,,
138,Room 138,,,,,,,,
139,Room 139,,,,,,,,
140,Room 140,,,,,,,,
141,"The liquid tastes salty and you break into a cold sweat as it goes down. You begin to tremble and try to steady yourself on the alter. However, you trip forward, knocking the other chalices onto the floor, spilling the other liquids. You slump to the floor yourself, feeling extremly ill and hazy. As if in a dream, you see a vision ofa strange, muscular creature with two heads, a long tail, and scaly gray skin. In its hand it holds a large bunch of keys. A mouse runs across the table at which it is sitting and it shrieks loudly . . . The cry wakes you up with a start and you realize where you are. You pick yourself up and grope for the door handle - you must have some fresh air! You leave the chamber, rest for a few moments outside, and set off for the Citadel.",>Continue,156,,,,,,
142,Room 142,,,,,,,,
143,Room 143,,,,,,,,
144,Room 144,,,,,,,,
145,Room 145,,,,,,,,
146,Room 146,,,,,,,,
147,Room 147,,,,,,,,
148,Room 148,,,,,,,,
149,They are not interested in you company and bid you on your way. You may either :,>Carry on towards the Tower,245,>Turn to the left to investigate the monument in the centre of the courtyard.,209,>or sit down at the fire anyway.,380,,
150,Room 150,,,,,,,,
151,Room 151,,,,,,,,
152,Room 152,,,,,,,,
153,Room 153,,,,,,,,
154,Room 154,,,,,,,,
155,Room 155,,,,,,,,
156,"As you stride across the open courtyard, you notice that you are walking alongside a small mound, almost like a burred pipeline running from the Black Tower to the temple. You bend over to investigate it; could it perhaps have been made by a mole of some kind? As you touch the mound, it caves in and, to yor horror, a long, gray Tentacle covered in warty growths bursts out of the ground and wraps itself around your leg! How will you fight this 'thing':",>Draw your sword?,71,>Cast a Levitation Spell?,284,>Cast a Fire Spell?,114,,
157,Room 157,,,,,,,,
158,Room 158,,,,,,,,
159,Room 159,,,,,,,,
160,Room 160,,,,,,,,
161,"She is deeply insulted by your indifferance. The Whirlwind rises once more and this time she knocks you of your feet. You try crawling forward, but she posistions herself in front of you in whichever direction you turn. You will have to try to outwit her, but how will you start:",>Make your anger obvious to her?,106,>Talk to her to try to pacify her?,390,,,,
162,"You feel power surge through your body. The creatures see your rippling muscles harden in front of tgeir eyes and stop dead in their tracks. Your hand grabs at your sword hilt and you whip out your blade. But to your despair, your new strength is difficult to control and your first slash with the sword sends the blade flying through the air to land serveral metres away! The creature grin at each otherand advance.",>You will now have to face them bare-handed,32,>or you may use your new strength to bound away down the hillside.,1,,,,
163,Room 163,,,,,,,,
164,Room 164,,,,,,,,
165,"As you feel the strength surge through your body, you draw out your sword and dig into the earthy walls. By making a foothole, then stepping on to it as you dig the next, yuou make your way up the shalf quite quickly with your boosted of power. Halfway up however, your strength begings to ebb and you realize you are returning to normal. If you allow this to happen, you will fall backwards into the pit once more. You may either:                      ",>Cast another Strength Spell to give you the energy to complete your staircase,398,>or you may shout for help,202,,,,
166,Room 166,,,,,,,,
167,Room 167,,,,,,,,
168,Room 168,,,,,,,,
169,Room 169,,,,,,,,
170,Room 170,,,,,,,,
171,Room 171,,,,,,,,
172,Room 172,,,,,,,,
173,"Your concentrate hard, and a green, fuming gasjets out of your finger towards the creature. She realizes that her own spinning will suck the gas inside her Whirlwind and begins to back off. When she has retreated far enough, you make for the Black Tower.",>Continue,218,,,,,,
174,Room 174,,,,,,,,
175,The creature has never heard of a Pincus within the Citadel. The Dog-Ape holding the mace growls and steps forward.,>You may choose another name.,110,>or prepare to fight them,288,,,,
176,Room 176,,,,,,,,
177,You are in a narrow hallway. This continues for serveral metres and ends in a doorway. Halfway along the passage you can see an archway where some steps lead downwards.,Will you go forwards to the door,5,or creep down the steps,344,,,,
178,Room 178,,,,,,,,
179,"As you step out of the shadows towards the centre of the courtyard, a voice in the wind cries, 'Halt! Stand your ground!' You whirl about but can see no-one addressing you. You take another couple of steps. Again, the eerie voice ordersyou to stop, andthis time an arrow zings through the air and lands close to your left foot. You jumpback. Still you can se no-one. But now you are stuck. will you:",">Press on forwards, very cautionsly?",378,>Make a dash for the monument in the centre of the yard?,125,>Cast a Shielding Spell around yourself and advance?,341,,
180,Room 180,,,,,,,,
181,Room 181,,,,,,,,
182,Room 182,,,,,,,,
183,Room 183,,,,,,,,
184,Room 184,,,,,,,,
185,Room 185,,,,,,,,
186,"The tall man agrees and persuades the shorter man that this is a fair price. The short man mumbles and curses, offering 6, then 7, Gold pieces but the price has been fixed at 8. you may, if you wish , offer the tall man 8 Gold Pieces yourself, although you will have to conjure up some Fool's gold to give to him.",">If you want to do this, , use a Foool's Gold Spell.",15,">If not, the short man eventually agrees to the price, buys the dagger and leaves. You may remain to talk to the tall man.",83,>or continue on your way.,245,,
187,Room 187,,,,,,,,
188,Room 188,,,,,,,,
189,You may use any of the following spells:,>Illusion Spell,319,>Shielding Spell,130,>Weakness Spell,43,">If you have none of these, you will have to use your sword.",333
190,Room 190,,,,,,,,
191,Room 191,,,,,,,,
192,Room 192,,,,,,,,
193,Room 193,,,,,,,,
194,Room 194,,,,,,,,
195,Room 195,,,,,,,,
196,Room 196,,,,,,,,
197,Room 197,,,,,,,,
198,"You think quickly. You reach into your bag and pull out a handful of weeds. Showing them to the creature, you explain that you are a herbalist and have come to treat the Lord's librarian, who is critically ill. The messager never told you the passwords.",>He belivers you!,177,>He doesn't belive you!,290,,,,
199,Room 199,,,,,,,,
200,Room 200,,,,,,,,
201,Room 201,,,,,,,,
202,"After several minutes of shouting, you hear voices in a strange tougue coming closer. To your relief you see four hears peering into the pit, silhouetted against the sky. You yell at them to get some rope. They chatter and disappear. Eventually you hear thier scurrying footsteps returning. they stand once more at the top of the pitt and throw downto you, not a rescue rope, but the content of a cauldron of boiling oil! You will have to watch your footing on your next adventure, for this one is over. And remeber - stranger are not welcome at the Citadel of Chaos.",>Continue,999,,,,,,
203,Room 203,,,,,,,,
204,Room 204,,,,,,,,
205,"The tall man is outraged by the price, but the other agrees. The argument becomes more intense and the taller man draws his sword. The shorter man does likewise and, as you are threatened, so do you. It is you and the shorter man against the tall man. You must resolve this battle. Before staring each Attack Round, Roll one di",>Short Man Alive,309,>Short Man Dead,368,,,,
206,Room 206,,,,,,,,
207,Room 207,,,,,,,,
208,Room 208,,,,,,,,
209,"You cast your eyes over the strange structure. It appears not to be a fountian, but a temple of some sort. To one side there is a door, which you may investigate, or you may press onwards.",>Press onwards.,156,>Investigate,362,,,,
210,Room 210,,,,,,,,
211,Room 211,,,,,,,,
212,Room 212,,,,,,,,
213,"You draw your sword just in time, as the Dwarf is upon you:",>Win,235,>Escape during the battle by making off for the monument in the centre of the courtyard.,209,,,,
214,Room 214,,,,,,,,
215,Room 215,,,,,,,,
216,Room 216,,,,,,,,
217,Room 217,,,,,,,,
218,"In front of you is a large wooden door, firmly locked.",>You may either knock three times for the guard.,118,">or, you may use a Strength Spell to try and open the it.",94,,,,
219,Room 219,,,,,,,,
220,Room 220,,,,,,,,
221,Room 221,,,,,,,,
222,"As you creep around the wall, you hear a low moaning noise a few metres ahead. As you get closer, you can make out the shape of a man on the ground, obviously in pain. He calls out for help.",>Will you approach him to see what you can do?,137,>or ignor him and continue along the wall?,14,,,,
223,Room 223,,,,,,,,
224,Room 224,,,,,,,,
225,"He agrees entirely. This artifact is extremly valuable. The shorter man explains that he just doesn't have that kind of money, and wanders off into the darkness. The tall man offers the dagger to you at the barging price of 9 Gold Pieces.",>You may use a fool's Gold Spell to conjure up enough gold to buy the Knife.,15,>or you may apoligze and press onwards.,245,,,,
226,Room 226,,,,,,,,
227,Room 227,,,,,,,,
228,Room 228,,,,,,,,
229,Room 229,,,,,,,,
230,"""Come to make some money, eh? "" says the Ape-Dog. ""Well you can share some of your profits with us!""",">As you have nothing to offer them, you can pull a rock out of your pouch and cast a Fool's Gold spell on it, offering them the gold nugget",96,>or you can prepare yourself for battle.,288,,,,
231,Room 231,,,,,,,,
232,Room 232,,,,,,,,
233,Room 233,,,,,,,,
234,Room 234,,,,,,,,
235,"Afraid that the commotion may have attracted attention, you peer out into the darkness. Nothing seems to be happening. Goingthrough the pockets of the creatures you find 8 Gold pices, a copper  coloured key, and a jar of dark, creamy ointment. Turning the virl of liquid, you can make out an inscription on the lid, written in runes. Your heart leaps as you realize that this is a potion of Magik and is very rare. Within the vial is enough liguid for two doses, and each has the effect of raising your Magic Score by 1 point, allowing your energy to useuse one extra spell. You may take this Potion with you to use after any Spell. When you drink the Potion, you need not cross that spell off you list. Remember this Potion will only work twice. Now you may carry on either ...",">towards the Citadel,",245,>or over to the two mem talking by tourchlight.,269,,,,
236,Room 236,,,,,,,,
237,Room 237,,,,,,,,
238,Room 238,,,,,,,,
239,Room 239,,,,,,,,
240,Room 240,,,,,,,,
241,Room 241,,,,,,,,
242,Room 242,,,,,,,,
243,Room 243,,,,,,,,
244,Room 244,,,,,,,,
245,"You set off towards the Citadel. Although the night air is calm, you hear a faint whistling, which rapodly gets louder and louder, until a strong gust of wind suddenly hits you with such force that you can barely move against it. You shield your eyes until the blast retreats slightly and, as you open them, you see a ghostly female face inside what appears to  be a living whirlwind. She mouths words at you which you cannot make out,  but some seconds after she has finished talking, the message reaches you. She seems to find your appearance offensive and is challennging you with words of abuse. You grab at your sword, bu she laughs.",>Will you ignor her and continue.,161,">talk to her,",390,>or use your magic to see her off,47,,
246,Room 246,,,,,,,,
247,Room 247,,,,,,,,
248,Room 248,,,,,,,,
249,Room 249,,,,,,,,
250,Room 250,,,,,,,,
251,You walk forward into a spacious open courtyard surrounded by large walls. Various lights are burning and groups of figurs are shuffling around in the darkness. In the cente of the courtyard is a large monument of some kind - perhape a fountain. Looking across the yard you can see what appears to be the main entrance to the tower Will you:,>Creep around the wall towards the tower?,222,>Stride boldly across the courtyard?,179,>Tiptoe through the shadows towards one of the groups?,321,,
252,Room 252,,,,,,,,
253,Room 253,,,,,,,,
254,Room 254,,,,,,,,
255,Room 255,,,,,,,,
256,Room 256,,,,,,,,
257,Room 257,,,,,,,,
258,Room 258,,,,,,,,
259,"Dismayed, she watchs as you float into the air above her. She spins herself frantically, trying to suck you down, but you are out of reach. You taunt her with a smile and wave and float over towards the Black Tower, setting yourself down outside the main entrance.",>Continue,218,,,,,,
260,Room 260,,,,,,,,
261,"The Ape-Dog asks to see your herbs. Luckly, you grabbed a few handfuls of weeds on your way and you show them. Cocking its head to one side, the creatureeyes you suspiciously. It asks you for the name of the guard you have come to treat - some thing you hadn't planned on! You quickly think of a name to bluff the creature with:",>Kylltrog,81,>Pincus,175,>Blag,394,,
262,Room 262,,,,,,,,
263,Room 263,,,,,,,,
264,Room 264,,,,,,,,
265,Room 265,,,,,,,,
266,Room 266,,,,,,,,
267,"As you grasp the chalice, the liquid turns grren, then a dirty brown in front of your eyes. It smells putrid, but you take a sip. With a rimace you spit it out - you are drinking muddy water! You leavethe chamber and head for the Citadel.",>Continue,156,,,,,,
268,Room 268,,,,,,,,
269,"The two men are dirty and unkempt. As you approach you can hear them aruing loudly about the price of a dagger. The taller of the two is obiously trying to sell the dagger to the other. He argues that the dagger is enchanted and worth more that the other is willing to pay for it. As you come closer, he grabs you by the arm and asks you for your opionion on the price of the weapon. What will you say?",>5 Gold Pieces?,205,>8 Gold Pieces?,186,>10 Gold Pieces?,225,,
270,Room 270,,,,,,,,
271,Room 271,,,,,,,,
272,Room 272,,,,,,,,
273,Is the password:,Scimitar?,371,Ganjees?,255,Kraken?,49,,
274,Room 274,,,,,,,,
275,Room 275,,,,,,,,
276,You fall to the bottom of a deep pit - possibly a filled-in well. You pick yourself up and you appear to be intact. But how are you going to get out? To dig footholes up the side of the pit with your sword would take far to long.,>You could cast a Strength Spell to assist you in this.,165,>or you could shout for help,202,,,,
277,Room 277,,,,,,,,
278,Room 278,,,,,,,,
279,Room 279,,,,,,,,
280,Room 280,,,,,,,,
281,Room 281,,,,,,,,
282,Room 282,,,,,,,,
283,Room 283,,,,,,,,
284,You cast the Spell and start to rise into the air. The Tentacle will not let go and the pain in your leg becomes excruciating. You decide to return to earth before your leg is wrenched from its socket. You will have to either:,>Fight it with your sword,71,>or cast a Fire Spell,114,,,,
285,Room 285,,,,,,,,
286,Room 286,,,,,,,,
287,Room 287,,,,,,,,
288,"The two creatures advance. The Ape-Dog attacks you first, followed by the Dog-Ape.",>Will you Cast a Strenght Spell,162,>Cast a Levitation Spell,86,>Fight them in turn,32,,
289,Room 289,,,,,,,,
290,"The RHINO-MAN steps forwards and jabs at you with its pike. You leap quickly out of the way. Although it is not wareing armour, its thick hide looks protextion enough. You must decide whether to take it on in combat or use magic.",Draw a sword,325,use aWeakness Spell,307,Use a Levitation Spell,70,Use a Strength Spell,264
291,Room 291,,,,,,,,
292,Room 292,,,,,,,,
293,Room 293,,,,,,,,
294,Room 294,,,,,,,,
295,"You concentrate and begin to turn yourself into a Giant Scorpion. The Dwarf and the Goblin stop in their tracts, but the Orc behaves as if nothing has happened. The other two see you sting the Orc with your tail, but the Orc does not flinch and calls the other two on. Seeing that you have done o damage, they shake their heads and look again to see the real you.",> The Orc tries to grab you.,213,,,,,,
296,Room 296,,,,,,,,
297,Room 297,,,,,,,,
298,"As your hands close around the chalice, it begins to fizz and foam, spitting at you as you raise it to your lips. Are you sure you want to taste ut?",">If not,",58,>but if you are determined,141,,,,
299,Room 299,,,,,,,,
300,Room 300,,,,,,,,
301,Room 301,,,,,,,,
302,Room 302,,,,,,,,
303,Room 303,,,,,,,,
304,Room 304,,,,,,,,
305,Room 305,,,,,,,,
306,Room 306,,,,,,,,
307,Room 307,,,,,,,,
308,Room 308,,,,,,,,
309,"You both go through the the tall man's pockets. You find 20 Gold Pieces, which you split equally, and you toss up for the Dagger . . .",>You win,15,>You Loss,245,,,,
310,Room 310,,,,,,,,
311,Room 311,,,,,,,,
312,Room 312,,,,,,,,
313,Room 313,,,,,,,,
314,Room 314,,,,,,,,
315,Room 315,,,,,,,,
316,Room 316,,,,,,,,
317,Room 317,,,,,,,,
318,Room 318,,,,,,,,
319,You concentrate on your arms. It begings to harden and turns dull metalic colour of iron. The old man's eyes widen as he sees your iron forearms. You wrestle to free yourself but still his teeth keep their grip.,>Your illusion  obviously wasn't convincing enough. You go for your sword.,333,,,,,,
320,Room 320,,,,,,,,
321,"Cautiously, and keeping well out of sight, you creep through the darkness around the edge of the courtyard. There are two groups of creatures in front of you. To the right, you can see two human-like figurs talking under a touch fastened to the wall. To the left, a group of four creatures, of varying shapes and sizes, are sitting around a fire, eating.",>Will you approach the two by the torch?,269,>or the group around the fire?,339,,,,
322,Room 322,,,,,,,,
323,Room 323,,,,,,,,
324,Room 324,,,,,,,,
325,Room 325,,,,,,,,
326,Room 326,,,,,,,,
327,Room 327,,,,,,,,
328,Room 328,,,,,,,,
329,Room 329,,,,,,,,
330,Room 330,,,,,,,,
331,Room 331,,,,,,,,
332,Room 332,,,,,,,,
333,"You draw your swaord and prepare to chop him with it. He glances up at you with a look that leads you to belive that he is not completely in control of his own actions. With pity, you crack him on the head with your sword hilt, causing him to howl and release his grip. You leave him moaning on the ground, nutsing his head.",>Continue,14,,,,,,
334,Room 334,,,,,,,,
335,Room 335,,,,,,,,
336,Room 336,,,,,,,,
337,Room 337,,,,,,,,
338,Room 338,,,,,,,,
339,"The motley crew sit around the fire. A warty-faced Orc is handing out scraggy chunks of half-cooked meat to the others. A narling Dwarf with green skin is complaining about the size of the piece, while two scruffy Goblins - a man and a woman - cuddling each other. They giggle and laugh, and every so often she slaps his ugly face causing more merriment. As you appoach they stop and turn round to look at you with unwelcome faces. They sneer at your neat appearance and the female Goblin whispers some comment to her mate. In front of th dwarf you can see an open box. You can just make out a vial of liquid within. Will you:",>Sit down with them around the fire?,134,>Ask them whether you may join them?,149,,,,
340,Room 340,,,,,,,,
341,"You cast the Spell around yourself and advance. Four or five arrows sing towards you but stop in the air a metre before they reach you, dropping to the ground. You reach the monument. ",>Continue,209,,,,,,
342,Room 342,,,,,,,,
343,Room 343,,,,,,,,
344,Room 344,,,,,,,,
345,Room 345,,,,,,,,
346,Room 346,,,,,,,,
347,Room 347,,,,,,,,
348,Room 348,,,,,,,,
349,Room 349,,,,,,,,
350,"You try a simple ploy to get rid of her, hoping that she is not to intelligent. Looking into the shadows, you claim to see another similar creature. She claimsyou are mistaken, but you convincing. Dhe nips off to investigate, allowing you to rush to the Citadel entrance.",>Continue,218,,,,,,
351,Room 351,,,,,,,,
352,Room 352,,,,,,,,
353,Room 353,,,,,,,,
354,Room 354,,,,,,,,
355,Room 355,,,,,,,,
356,Room 356,,,,,,,,
